,JakaumaId,AanestysId,Ryhma,Jaa,Ei,Tyhjia,Poissa,Yhteensa,Tyyppi,Imported
763358,1132193,41145.0,Kansallisen kokoomuksen eduskuntaryhmä,32.0,0.0,0         ,5         ,37        ,eduskuntaryhma,2018-05-18 00:23:35.272404
763359,1132194,41145.0,Sosialidemokraattinen eduskuntaryhmä,32.0,0.0,0         ,3         ,35        ,eduskuntaryhma,2018-05-18 00:23:35.710323
763360,1132195,41145.0,Sininen eduskuntaryhmä,16.0,0.0,0         ,2         ,18        ,eduskuntaryhma,2018-05-18 00:23:36.037596
763361,1132196,41145.0,Perussuomalaisten eduskuntaryhmä,0.0,17.0,0         ,0         ,17        ,eduskuntaryhma,2018-05-18 00:23:36.45638
763362,1132197,41145.0,Vihreä eduskuntaryhmä,0.0,13.0,0         ,2         ,15        ,eduskuntaryhma,2018-05-18 00:23:37.017737
763363,1132198,41145.0,Vasemmistoliiton eduskuntaryhmä,0.0,12.0,0         ,0         ,12        ,eduskuntaryhma,2018-05-18 00:23:37.858392
763364,1132199,41145.0,Ruotsalainen eduskuntaryhmä,9.0,0.0,0         ,1         ,10        ,eduskuntaryhma,2018-05-18 00:23:38.271345
763365,1132200,41145.0,Kristillisdemokraattinen eduskuntaryhmä,4.0,0.0,0         ,1         ,5         ,eduskuntaryhma,2018-05-18 00:23:38.780665
763366,1132201,41145.0,Liike Nyt-eduskuntaryhmä,1.0,0.0,0         ,0         ,1         ,eduskuntaryhma,2018-05-18 00:23:39.233612
763519,1132354,41151.0,Keskustan eduskuntaryhmä,41.0,0.0,0         ,8         ,49        ,eduskuntaryhma,2018-05-24 00:13:27.97078
763520,1132355,41151.0,Kansallisen kokoomuksen eduskuntaryhmä,31.0,0.0,0         ,6         ,37        ,eduskuntaryhma,2018-05-24 00:13:28.385992
763521,1132356,41151.0,Sosialidemokraattinen eduskuntaryhmä,27.0,0.0,0         ,8         ,35        ,eduskuntaryhma,2018-05-24 00:13:28.787665
763522,1132357,41151.0,Sininen eduskuntaryhmä,15.0,0.0,0         ,3         ,18        ,eduskuntaryhma,2018-05-24 00:13:29.219247
763523,1132358,41151.0,Perussuomalaisten eduskuntaryhmä,0.0,15.0,0         ,2         ,17        ,eduskuntaryhma,2018-05-24 00:13:30.20049
763524,1132359,41151.0,Vihreä eduskuntaryhmä,13.0,0.0,0         ,2         ,15        ,eduskuntaryhma,2018-05-24 00:13:30.765289
763525,1132360,41151.0,Vasemmistoliiton eduskuntaryhmä,8.0,0.0,0         ,4         ,12        ,eduskuntaryhma,2018-05-24 00:13:31.139426
763526,1132361,41151.0,Ruotsalainen eduskuntaryhmä,8.0,0.0,0         ,2         ,10        ,eduskuntaryhma,2018-05-24 00:13:31.524886
763527,1132362,41151.0,Kristillisdemokraattinen eduskuntaryhmä,4.0,0.0,0         ,1         ,5         ,eduskuntaryhma,2018-05-24 00:13:32.292775
763528,1132363,41151.0,Liike Nyt-eduskuntaryhmä,1.0,0.0,0         ,0         ,1         ,eduskuntaryhma,2018-05-24 00:13:32.805209
774095,1142930,41529.0,Keskustan eduskuntaryhmä,43.0,0.0,0         ,5         ,48        ,eduskuntaryhma,2020-10-16 12:00:00
774096,1142931,41529.0,Kansallisen kokoomuksen eduskuntaryhmä,31.0,0.0,0         ,6         ,37        ,eduskuntaryhma,2020-10-16 12:00:00
774097,1142932,41529.0,Sosialidemokraattinen eduskuntaryhmä,0.0,30.0,0         ,5         ,35        ,eduskuntaryhma,2020-10-16 12:00:00
774098,1142933,41529.0,Sininen eduskuntaryhmä,13.0,0.0,0         ,5         ,18        ,eduskuntaryhma,2020-10-16 12:00:00
774099,1142934,41529.0,Perussuomalaisten eduskuntaryhmä,0.0,16.0,0         ,1         ,17        ,eduskuntaryhma,2020-10-16 12:00:00
774100,1142935,41529.0,Vihreä eduskuntaryhmä,0.0,11.0,0         ,4         ,15        ,eduskuntaryhma,2020-10-16 12:00:00
774101,1142936,41529.0,Vasemmistoliiton eduskuntaryhmä,0.0,11.0,0         ,1         ,12        ,eduskuntaryhma,2020-10-16 12:00:00
774102,1142937,41529.0,Ruotsalainen eduskuntaryhmä,0.0,7.0,0         ,3         ,10        ,eduskuntaryhma,2020-10-16 12:00:00
774103,1142938,41529.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,4.0,0         ,1         ,5         ,eduskuntaryhma,2020-10-16 12:00:00
774104,1142939,41529.0,Liike Nyt -eduskuntaryhmä,0.0,0.0,0         ,1         ,1         ,eduskuntaryhma,2020-10-16 12:00:00
774105,1142940,41529.0,Tähtiliikkeen eduskuntaryhmä,0.0,0.0,0         ,1         ,1         ,eduskuntaryhma,2020-10-16 12:00:00
779079,1147914,41707.0,Keskustan eduskuntaryhmä,45.0,0.0,0         ,3         ,48        ,eduskuntaryhma,2018-12-19 04:15:36.615297
779080,1147915,41707.0,Kansallisen kokoomuksen eduskuntaryhmä,36.0,0.0,0         ,1         ,37        ,eduskuntaryhma,2018-12-19 04:15:37.014053
779081,1147916,41707.0,Sosialidemokraattinen eduskuntaryhmä,0.0,32.0,0         ,3         ,35        ,eduskuntaryhma,2018-12-19 04:15:37.60997
779082,1147917,41707.0,Sininen eduskuntaryhmä,15.0,0.0,0         ,3         ,18        ,eduskuntaryhma,2018-12-19 04:15:37.936295
779083,1147918,41707.0,Perussuomalaisten eduskuntaryhmä,0.0,15.0,0         ,2         ,17        ,eduskuntaryhma,2018-12-19 04:15:38.388995
779084,1147919,41707.0,Vihreä eduskuntaryhmä,0.0,11.0,0         ,4         ,15        ,eduskuntaryhma,2018-12-19 04:15:38.796434
779085,1147920,41707.0,Vasemmistoliiton eduskuntaryhmä,0.0,11.0,0         ,1         ,12        ,eduskuntaryhma,2018-12-19 04:15:39.155959
779086,1147921,41707.0,Ruotsalainen eduskuntaryhmä,0.0,10.0,0         ,0         ,10        ,eduskuntaryhma,2018-12-19 04:15:39.521894
779087,1147922,41707.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,4.0,0         ,1         ,5         ,eduskuntaryhma,2018-12-19 04:15:40.273924
779088,1147923,41707.0,Liike Nyt -eduskuntaryhmä,1.0,0.0,0         ,0         ,1         ,eduskuntaryhma,2018-12-19 04:15:40.6901
779089,1147924,41707.0,Tähtiliikkeen eduskuntaryhmä,0.0,1.0,0         ,0         ,1         ,eduskuntaryhma,2018-12-19 04:15:41.145443
779135,1147970,41709.0,Keskustan eduskuntaryhmä,45.0,0.0,0         ,3         ,48        ,eduskuntaryhma,2018-12-19 04:16:01.261092
779136,1147971,41709.0,Kansallisen kokoomuksen eduskuntaryhmä,36.0,0.0,0         ,1         ,37        ,eduskuntaryhma,2018-12-19 04:16:01.853052
779137,1147972,41709.0,Sosialidemokraattinen eduskuntaryhmä,0.0,32.0,0         ,3         ,35        ,eduskuntaryhma,2018-12-19 04:16:02.551262
779138,1147973,41709.0,Sininen eduskuntaryhmä,15.0,0.0,0         ,3         ,18        ,eduskuntaryhma,2018-12-19 04:16:03.013871
779139,1147974,41709.0,Perussuomalaisten eduskuntaryhmä,0.0,15.0,0         ,2         ,17        ,eduskuntaryhma,2018-12-19 04:16:03.342883
779140,1147975,41709.0,Vihreä eduskuntaryhmä,0.0,11.0,0         ,4         ,15        ,eduskuntaryhma,2018-12-19 04:16:03.665967
779141,1147976,41709.0,Vasemmistoliiton eduskuntaryhmä,0.0,11.0,0         ,1         ,12        ,eduskuntaryhma,2018-12-19 04:16:03.996961
779142,1147977,41709.0,Ruotsalainen eduskuntaryhmä,0.0,10.0,0         ,0         ,10        ,eduskuntaryhma,2018-12-19 04:16:04.347245
779143,1147978,41709.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,4.0,0         ,1         ,5         ,eduskuntaryhma,2018-12-19 04:16:04.693527
779144,1147979,41709.0,Liike Nyt -eduskuntaryhmä,1.0,0.0,0         ,0         ,1         ,eduskuntaryhma,2018-12-19 04:16:05.152071
779145,1147980,41709.0,Tähtiliikkeen eduskuntaryhmä,0.0,1.0,0         ,0         ,1         ,eduskuntaryhma,2018-12-19 04:16:05.493908
779191,1148026,41711.0,Keskustan eduskuntaryhmä,45.0,0.0,0         ,3         ,48        ,eduskuntaryhma,2018-12-19 04:16:25.220123
779192,1148027,41711.0,Kansallisen kokoomuksen eduskuntaryhmä,36.0,0.0,0         ,1         ,37        ,eduskuntaryhma,2018-12-19 04:16:25.561027
779193,1148028,41711.0,Sosialidemokraattinen eduskuntaryhmä,32.0,0.0,0         ,3         ,35        ,eduskuntaryhma,2018-12-19 04:16:25.964293
779194,1148029,41711.0,Sininen eduskuntaryhmä,15.0,0.0,0         ,3         ,18        ,eduskuntaryhma,2018-12-19 04:16:26.295315
779195,1148030,41711.0,Perussuomalaisten eduskuntaryhmä,0.0,15.0,0         ,2         ,17        ,eduskuntaryhma,2018-12-19 04:16:26.657969
779196,1148031,41711.0,Vihreä eduskuntaryhmä,0.0,11.0,0         ,4         ,15        ,eduskuntaryhma,2018-12-19 04:16:27.040271
779197,1148032,41711.0,Vasemmistoliiton eduskuntaryhmä,0.0,11.0,0         ,1         ,12        ,eduskuntaryhma,2018-12-19 04:16:27.472879
779198,1148033,41711.0,Ruotsalainen eduskuntaryhmä,0.0,10.0,0         ,0         ,10        ,eduskuntaryhma,2018-12-19 04:16:28.011381
779199,1148034,41711.0,Kristillisdemokraattinen eduskuntaryhmä,4.0,0.0,0         ,1         ,5         ,eduskuntaryhma,2018-12-19 04:16:28.513257
779200,1148035,41711.0,Liike Nyt -eduskuntaryhmä,1.0,0.0,0         ,0         ,1         ,eduskuntaryhma,2018-12-19 04:16:28.833225
779201,1148036,41711.0,Tähtiliikkeen eduskuntaryhmä,0.0,1.0,0         ,0         ,1         ,eduskuntaryhma,2018-12-19 04:16:29.23108
921884,1290929,46989.0,Sosialidemokraattinen eduskuntaryhmä,39.0,0.0,0         ,1         ,40        ,eduskuntaryhma,2021-05-18 14:13:21.63963
921885,1290930,46989.0,Perussuomalaisten eduskuntaryhmä,0.0,38.0,0         ,0         ,38        ,eduskuntaryhma,2021-05-18 14:13:23.748254
921886,1290931,46989.0,Kansallisen kokoomuksen eduskuntaryhmä,26.0,10.0,2         ,0         ,38        ,eduskuntaryhma,2021-05-18 14:13:25.704207
921887,1290932,46989.0,Keskustan eduskuntaryhmä,27.0,2.0,0         ,1         ,30        ,eduskuntaryhma,2021-05-18 14:13:27.891577
921888,1290933,46989.0,Vihreä eduskuntaryhmä,20.0,0.0,0         ,0         ,20        ,eduskuntaryhma,2021-05-18 14:13:30.009433
921889,1290934,46989.0,Vasemmistoliiton eduskuntaryhmä,12.0,0.0,0         ,4         ,16        ,eduskuntaryhma,2021-05-18 14:13:32.107329
921890,1290935,46989.0,Ruotsalainen eduskuntaryhmä,10.0,0.0,0         ,0         ,10        ,eduskuntaryhma,2021-05-18 14:13:34.205294
921891,1290936,46989.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,5.0,0         ,0         ,5         ,eduskuntaryhma,2021-05-18 14:13:36.386059
